,words,sentiments
188,true,"['joy', 'positive', 'trust']"
189,shopping,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
190,unfortunate,"['negative', 'sadness']"
191,accident,"['fear', 'negative', 'sadness', 'surprise']"
192,measure,['trust']
193,system,['trust']
194,advanced,['positive']
195,horror,"['anger', 'disgust', 'fear', 'negative', 'sadness', 'surprise']"
196,surveillance,['fear']
197,drone,['negative']
198,reason,['positive']
199,admire,"['positive', 'trust']"
200,trump,['surprise']
201,offer,['positive']
202,punch,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
203,shit,"['anger', 'disgust', 'negative']"
204,beer,"['joy', 'positive']"
205,brighten,"['joy', 'positive', 'surprise', 'trust']"
206,dance,"['joy', 'positive', 'trust']"
207,smile,"['joy', 'positive', 'surprise', 'trust']"
208,related,['trust']
209,problem,"['fear', 'negative', 'sadness']"
210,imprisoned,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
211,title,"['positive', 'trust']"
212,educate,['positive']
213,differently,['surprise']
214,main,['positive']
215,inclusion,['trust']
216,disable,"['fear', 'negative', 'sadness']"
217,genuine,"['positive', 'trust']"
218,charger,['positive']
219,buzz,"['anticipation', 'fear', 'positive']"
220,hope,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
221,fighting,"['anger', 'negative']"
222,prevail,"['anticipation', 'joy', 'positive']"
223,budget,['trust']
224,battle,"['anger', 'negative']"
225,food,"['joy', 'positive', 'trust']"
226,rear,['negative']
227,refused,"['negative', 'sadness']"
228,anger,"['anger', 'negative']"
229,crash,"['fear', 'negative', 'sadness', 'surprise']"
230,remove,"['anger', 'fear', 'negative', 'sadness']"
231,communist,['negative']
232,propaganda,['negative']
233,kick,"['anger', 'negative']"
234,inspiration,"['anticipation', 'joy', 'positive']"
235,uncover,['surprise']
236,winning,"['anticipation', 'disgust', 'joy', 'positive', 'sadness', 'surprise', 'trust']"
237,agree,['positive']
238,cool,['positive']
239,inspire,"['anticipation', 'joy', 'positive', 'trust']"
240,poll,['trust']
241,talent,['positive']
242,unprecedented,['surprise']
243,talk,['positive']
244,warned,"['anticipation', 'fear', 'surprise']"
245,tower,['positive']
246,steal,"['anger', 'fear', 'negative', 'sadness']"
247,wit,['positive']
248,proceeding,['anticipation']
249,conspiracy,['fear']
250,fraud,"['anger', 'negative']"
251,aga,"['fear', 'positive', 'trust']"
252,chance,['surprise']
253,epic,['positive']
254,force,"['anger', 'fear', 'negative']"
255,pretty,"['anticipation', 'joy', 'positive', 'trust']"
256,pay,"['anticipation', 'joy', 'positive', 'trust']"
257,cable,['surprise']
258,shell,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
259,dust,['negative']
260,president,"['positive', 'trust']"
261,stolen,"['anger', 'negative']"
262,offering,['trust']
263,lucky,"['joy', 'positive', 'surprise']"
264,resident,['positive']
265,hire,"['anticipation', 'joy', 'positive', 'trust']"
266,degree,['positive']
267,wait,"['anticipation', 'negative']"
268,deal,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
269,store,"['anticipation', 'positive']"
270,sin,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
271,long,['anticipation']
272,shooting,"['anger', 'fear', 'negative']"
273,black,"['negative', 'sadness']"
274,impression,['positive']
275,sincere,"['positive', 'trust']"
276,supreme,['positive']
277,focus,['positive']
278,gigantic,['positive']
279,risk,"['anticipation', 'fear', 'negative']"
280,communism,"['anger', 'fear', 'negative', 'sadness']"
281,trend,['positive']
282,corporation,"['positive', 'trust']"
283,wonderful,"['joy', 'positive', 'surprise', 'trust']"
284,crazy,"['anger', 'fear', 'negative', 'sadness']"
285,director,"['positive', 'trust']"
286,greater,['positive']
287,difficulty,"['anger', 'fear', 'negative', 'sadness']"
288,glory,"['anticipation', 'joy', 'positive', 'trust']"
289,resilient,['positive']
290,dangerous,"['fear', 'negative']"
291,beware,"['anticipation', 'fear', 'negative']"
292,economy,['trust']
293,god,"['anticipation', 'fear', 'joy', 'positive', 'trust']"
294,dirty,"['disgust', 'negative']"
295,change,['fear']
296,loss,"['anger', 'fear', 'negative', 'sadness']"
297,expect,"['anticipation', 'positive', 'surprise', 'trust']"
298,lack,['negative']
299,hell,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
300,resistance,"['anger', 'negative']"
301,killing,"['anger', 'fear', 'negative', 'sadness']"
302,center,"['positive', 'trust']"
303,growth,['positive']
304,demand,"['anger', 'negative']"
305,wireless,"['anger', 'anticipation', 'positive', 'surprise']"
306,countdown,['anticipation']
307,harmony,"['joy', 'positive', 'trust']"
308,academy,['positive']
309,community,['positive']
310,equity,['positive']
311,reliable,"['positive', 'trust']"
312,feeling,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'negative', 'positive', 'sadness', 'surprise', 'trust']"
313,diary,"['joy', 'positive', 'trust']"
314,eligible,['positive']
315,wan,"['fear', 'negative', 'sadness']"
316,happy,"['anticipation', 'joy', 'positive', 'trust']"
317,demanding,['negative']
318,pick,['positive']
319,ahead,['positive']
320,electric,"['joy', 'positive', 'surprise']"
321,partner,['positive']
322,clash,"['anger', 'negative']"
323,policy,['trust']
324,committee,['trust']
325,guide,"['positive', 'trust']"
326,organization,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
327,manufacturer,['positive']
328,acquire,['positive']
329,provide,"['positive', 'trust']"
330,controversial,"['anger', 'negative']"
331,rule,"['fear', 'trust']"
332,lint,['negative']
333,ambition,"['anticipation', 'joy', 'positive', 'trust']"
334,fight,"['anger', 'fear', 'negative']"
335,fair,['positive']
336,unfair,"['anger', 'disgust', 'negative', 'sadness']"
337,afford,['positive']
338,immortal,['positive']
339,school,['trust']
340,honor,"['positive', 'trust']"
341,protector,"['positive', 'trust']"
342,disappointed,"['anger', 'disgust', 'negative', 'sadness']"
343,fully,"['positive', 'trust']"
344,annoying,"['anger', 'negative']"
345,forward,['positive']
346,award,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
347,perfection,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
348,die,"['fear', 'negative', 'sadness']"
349,guardian,"['positive', 'trust']"
350,found,"['joy', 'positive', 'trust']"
351,feature,['positive']
352,interested,"['disgust', 'positive', 'sadness']"
353,constraint,"['anger', 'fear', 'negative', 'sadness']"
354,calculation,['anticipation']
355,refuse,['negative']
356,lowest,"['negative', 'sadness']"
357,nightmare,"['fear', 'negative']"
358,highest,"['anticipation', 'fear', 'joy', 'negative', 'positive', 'surprise']"
359,surpassing,['positive']
360,bad,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
361,seriousness,"['fear', 'sadness']"
362,jump,"['joy', 'positive']"
363,sunset,"['anticipation', 'positive']"
364,flagship,['trust']
365,bonanza,"['joy', 'positive']"
366,production,"['anticipation', 'positive']"
367,complaint,"['anger', 'negative']"
368,butt,['negative']
369,favorite,"['joy', 'positive', 'trust']"
370,vision,"['anticipation', 'positive']"
371,forecast,"['anticipation', 'trust']"
